fold,train_case_ids,validation_case_ids,train_hot_rmse_K,train_cold_rmse_K,validation_hot_rmse_K,validation_cold_rmse_K,best_validation_score,final_k_wall_w_mk,output_dir
1,"case_002,case_003,case_004,case_005,case_006,case_007,case_008,case_009,case_012,case_014,case_015,case_016","case_001,case_010,case_011,case_013",0.3079133911572846,0.3575967807642426,0.3075742583385997,0.3748774607829378,0.6824517191215376,16.0,outputs_3d_case_matrix_conditioned_case_cv_final/fold_1
2,"case_001,case_003,case_005,case_007,case_008,case_009,case_010,case_011,case_012,case_013,case_014,case_016","case_002,case_004,case_006,case_015",0.3048806832657974,0.3621813003114666,0.3153998068655334,0.3644099424748546,0.6798097493403881,16.0,outputs_3d_case_matrix_conditioned_case_cv_final/fold_2
3,"case_001,case_002,case_004,case_005,case_006,case_008,case_010,case_011,case_012,case_013,case_014,case_015","case_003,case_007,case_009,case_016",0.3035777015352535,0.3621166207160207,0.6135282784703971,0.3667765358386122,0.9803048143090094,16.0,outputs_3d_case_matrix_conditioned_case_cv_final/fold_3
4,"case_001,case_002,case_003,case_004,case_006,case_007,case_009,case_010,case_011,case_013,case_015,case_016","case_005,case_008,case_012,case_014",0.3023040893674902,0.35781694031396816,0.3107134619027742,0.3612897582601418,0.672003220162916,16.0,outputs_3d_case_matrix_conditioned_case_cv_final/fold_4
